Items = {
A_plus 🅰️
Adventure_Compass 🧭
Adventure_Ticket 🎟️
Adventure_Voucher 🎫
Aetheryx'_Flower 🌸
Aha's_Pitcher_Plant 🌿
Aiphey's_Gemstone 💎
Alcohol 🍷
Alien_Sample 👽
Ammo 💥
Ant 🐜
Anti-Rob_Pack 🦹
Apple 🍎
Apron 🧑‍🍳
Armpit_Hair 🦠
Baby 👶
Badosz's_Card 🃏
Bait_Box 🎣
Ban_Hammer 🔨
Bank_Note 💵
Barracuda 🐟
Barrel_of_Sludge 🛢️
Beaker_of_sus_fluid 🧪
Bean 🫘
Bean_Mp3_Player 🎧
Bean_Seeds 🌱
Berries_and_Cream 🥛
Binary 🔢
Birthday_Cake 🎂
Black_Hole 🌌
Blob 🫧
Blue's_Plane ✈️
Blue_Plastic_Bits 🔵
Boar 🐗
Bolt_Cutters ✂️
Bottle_of_Whiskey 🥃
Box_Box 📦
Box_of_Sand 🏖️
Boxed_Chocolates 🍫
Broccoli 🥦
Broccoli_Seeds 🌱
Bundle_Box 🎁
Cactus 🌵
Caipirinha 🍹
Camera 📷
Candy 🍬
Candy_Cane 🍭
Candy_Corn 🌽
Carrot 🥕
Carrot_Seeds 🌱
Cell_Phone 📱
Chet's_USB 💾
Chill_Pill 💊
Chocolate_Cake 🍰
Christmas_Gift 🎁
Christmas_Tree 🎄
Coin_Bomb 💣
Coin_Nuke ☢️
Coin_Voucher 🪙
Cookie 🍪
Corn_Seeds 🌱
Corncob 🌽
Corndog 🌭
Cowboy_Boots 👢
Cowboy_Hat 🤠
Credit_Card 💳
Crunchy_Taco 🌮
Cupid's_Big_Toe 💘
Cursed_Pepe 🐸
Daily_Box 📦
Dank_Box 📦
Dank_Memer 🐸
Deer 🦌
Designer_Hoodie 👕
Developer_Box 📦
Developer_Items 🧰
Diamond 💎
Digging_Trophy 🏆
Dragon 🐉
Duck 🦆
Duct_Tape 🩹
Ectoplasm 👻
Electrifying_Zing ⚡
Elf_On_The_Shelf 🧝
Empowered_Fart_Bottle 💨
Enchanted_Badosz's_Card 🃏
Energy_Drink 🥤
Engagement_Ring 💍
Exclusive_Gems_Box 💎
Exclusive_Website_Box 🌐
Fake_ID 🪪
Fart_In_A_Bottle 💨
Fertilizer_Bag 🌱
Fidget_Spinner 🌀
Fierce_Fang_Fare 🦷
Fish_Tackle_Box 🎣
Fishing_Trophy 🏆
Fool's_Notif 🤡
Fossil 🦴
Freemium_Ad 📺
